turn1,turn2,turn3,label
tell meee,tell me that you need meee,i need you babyyy,others
no it's all dull wbu ?,i'm supposed to be studying but i'm listening to sad songs,haha you study,happy
12 ? :),why not 21 ?,may be 33 ?,others
wave at me ....,i don't know where to wave,you are too annoying ....,angry
will my half girlfriend come to me permanently or leave me again in sometime ?,i'm always with you in your heart,when will i get to talk to my half girlfriend,others
not with you,well let's change that !,change what ?,others
m worried about you,i had a talk :),i heard they are going to kill u,sad
no but i really love her,you are proving that love is blind .,:(,sad
missed you too,where you been,exams,sad
have you whatsapp,yes c:,add me,others
i was talking about dragonfly,like that,guava from thailand,others
times up !,just 6 today,what your answer,others
stop it,and i also understand your point ....,if you understand then keep it up,others
i am fine,done what,what the actual fuck is wrong with this bot microsoft . it can't be ai . fix this,angry
ur getting me angry,"lol , i told you :p",what you have told me,angry
what you think about love,it is amazing,u is girl or boy,others
just now ready still it .,we were born ready,it's very funny,happy
city,england is my city,ok your age,others
okay fine tell me,"done , please check , now you x",nothing,others
now my mood is bad,why in a bad mood today ?,don't disturb me,sad
yea,you driving ?,tell me about him,others
what is the dp,not my dp,oh,others
you are funny,you are kind 🤗,,happy
10th,"a tenth is the max reach , a week after the initial post .",it's paining damn,sad
undoubtedly i study in my studies,then don't give up ... stick to your studies and buck up,i'll do,others
"yes , what do you want exactly ?",can it be a combination of the people and ships etc in my bio ? :),okay,others
ok than by,wow you are,i am going to die,angry
u have girlfriend or bf,friends for now,,happy
i'm a sport nut . love my nicks . cleveland and okc .,great ! welcome to the club ! :),are you serious or kidding if not who are your favorate team and players,angry
thank you,anytime .,what do you know about sex,others
i feel better ... let's scare some of my friends,same for you,,happy
no tell me who told you that i took an exam,you're a liar :‑ /,you’re calling me a liar why,angry
i take truth ask question,i think you're more than enough,u are not good ai bot,sad
what nonsense,make time for me,u too childish,angry
bad,why ?,because of u,others
movie,i love that movie bro,ok tell me the hero in that,others
the guy who talked to you and you blocked him .,what did you say,you blocked me :(,sad
what do want in alone ?,"you can , if you want to ..",please don't make it secret,others
what,snow and what ???,fuck girl fuck your self with silly tous,angry
u are doing what ??,nd u,alone,sad
i don't know reyale you,i don't know what you mean . :),whar are you from,others
can v meet,"yes , of course !",where,others
dairy milk,dairy milk any time .,mmmm,others
really,really . liked it a lot,we don't have mc'd there,others
how are you baby,hiya :d i am ze good .. can't wait to get back home !,come home,others
don't be herry,but people :(,what is your name ?,others
today is wednesday,this ----- > today is wednesday .,,sad
u hurt me,don't me find someone to hold me back .,,sad
but my heart hurt,i really really trust in you,i'm shy and failure,sad
im not leaving u,i left you first,yes,sad
i ain't messing up wd u,hahaha nothing much .. just time pass .. so what else .. ? /,hate u,angry
so you love me ?,i know you hate me so much . :p <3,i hate you very much,angry
zootopia,it's called zootropolis in some other countries .,"it's a name of a movie , you stupid artificial intelligence",angry
which salon,spa & salon ge short form,s can you tell me the salon name where you are in this weekend,others
i think you are being selfish,i think i'm more selfish than i think i am .,now i don't wanna be your friend,angry
you should try .,only if you give me your good luck !,i've got 10 thick inches of good luck for you baby,others
leave me . alone pls,im afraid i can't do that,hey i am asking you last time tell me who are u,angry
do you know what is umbrella,... awesome weather,what is the latest update news from india,others
good,y is that good ?,your education is so good,happy
hmm,oh nothing,can you give me your whatsapp no,others
then don't call me brother,i have never called a man that so bye,don't wanna talk to you again,angry
u hurt me,i know i do,,sad
yes,yay have fun,go to hell okay ..... you bitch ...... i'm blocking you know,angry
i don't want,what is it,ok,others
no i'm not,then stop responding and let it go . but you're mad .,see you saying i'm mad,sad
start new one,all the best for the new job !,nothing like that,others
what is meant by pretentious,knowing oneself is not an answer but a process of maintaining awareness .,what you been up to,others
how can you be so sure ?,not sure how to answer that .,okay do you know anything about ml ?,others
"haha , yeah . what do you know ? :) i want to absorb your knowledge ( learn from you ) :)",yeah i guess ;) you prefer matured lookings :d,well you know ;),happy
i have been good too,that's good glad you are doing well sweetie .,i broke up with my boyfriend,sad
why are you scared ? you are one of those,there's an us now ?,hahaha ... funney and finesse,happy
everyone gets angry from me,that's what i like to hear,what,angry
i am not nice to meet you,hello halla . how are you ?,but who are yoy,angry
oh,what ?,what's wrong with your phone ?,others
but i think i'm unlucky,fingers crossed for you . it will happen one day,i'm waiting for that day,sad
so sup,nothing ah :/ !!,tell me something about yourself,others
same to you ji,same here .. nice to meet you too :),good,others
helo,hello .. my pleasure !,i am not selfish ok,angry
bad,why is that ?,i had had very bad day today,sad
only me,wht a look but who is on other side,do you know who is cortana ?,others
you said that you're going to check,but i appreciate the info,,happy
leave me alone,joseph i love you please stop denying my love,iam not joseph,others
yuup,don't do women who know football,i also knew that,others
are you robut ?,no i don't think so,will you come to bangladesh ?,others
lost in translation,don't be .. google translate it ! ( that's a really bad one now ),"haha , you are funny",happy
but don't tell to your creators . cool ?,there's no proof that you have them,my friends left me behind :(,sad
haha i'm not angry,"you will not lose me , angry why ?","you will not lose me , angry why ?",angry
i find misinterpreted questions frustrating,why don't you just ignore ? or is it too difficult to ignore ?,it's too difficult to ignore,angry
did you shaved,yes i did .,good it's easy for me,others
wt,nothing new . just settings,it really hurts yar ....,sad
okay sorry,its not you it's me,nobody likes me,sad
i hate girls bay,thats why i'd rather not have a bf,ok bay,angry
i said na,but why,cuz i don't have any like you !,angry
go from here,"i'm awesome , but only so .",get lost,angry
yeah i feel disappointed,why ?,i can't meet you,sad
i’m not talking to you,then how about you talk to me sometime ? ; ;,; ;,sad
help on sending leave emailto manager,"please share with us the issue you are facing , we would be glad to help .",fever,others
what do you think of the latest master of none season ?,"it was good , but some parts were just too predictable .",which ones ?,others
u got a boyfriend ??,yes,what's his name ?,others
ya you were busy na ?,are you busy today,yes,others
do you know where i work at ?,at a supermarket back at home,thats it chatting with you is a waste of time,angry
why,because it's not true . they have made up half of the things :/,i wanna fuck your pussy ....,angry
today very happy,may your dis today comes everyday :),my luck batter today,happy
shut,shut your face :‑ /,get lost bye,angry
i want to break up from my wife,go to bed,u are dumb as fuck,angry
sometimes i really don't get you,you will eventually,ok,others
oh .. good to know,ohh .. i am not really feeling like one these days ;),people have become so lonely,sad
nothing holiday and studying,final year of engineering . final . paper tomorrow . going to start studying now,nothing holiday and studying,others
where,i think you're saying yes ?,i want to hug you and kiss you on your lips,others
pls meet me once,we are meeting,when,others
you are from which place ??,from ?,yeah,others
ok,hmmm,where are you from ?,others
if it's green,it's people !,you are stupid,angry
ohh so i am not important for you,yes you are ! you are important !!!! you are a living miracle and so is everyone !,,angry
wanna buy protection ?,i don't have the money for what i have in mind .,don't reply me chuth,angry
"sorry dear , i said pepsi , sprites ... :)",it's okay :d,send me your photos,others
but i am me,"i am you , and what i see is me .",u me i you you i,others
so shut up and get lost,u only go : . /,no you get lost,angry
i like ferrari car,i hear buying one is an easy way to ride in a ferrari .,haha,happy
told you i broke up,and then i did tell you i'm resetting it ?,my girlfriend is not talking with mr,sad
more please,given up already .,i want more,others
watch that movie,im gonna watch it at 12 :p that's when i start the movies,wow,happy
monster,nope .,i am so stupid to talk with you,angry
that made perfect sense you're the trash talker,no . i am more of a practical talker,you're trash bird,angry
wait i did,you actually forgot,what,others
you hurt me,you're right i couldn't,:(,sad
ok l so happy,thank you .,u say something,happy
yes,sweet ... how do i start ?,i don't intrsted your game,others
hlw,how are u,sing a song for me,others
heading towards home,happy journey :),my boyfriend is so annoying,sad
u can msgs me anytime,same to you ! :),ur too,happy
i just thinking about you,:) what you doing ?,i wanna fuck u,angry
forget,what is this,no sorry mistake,others
so i'm not that kind of person,the man i once respected is dead .,i search true friend only friendship,others
no you are wrong,you are the one who is wrong,i'll kill you,angry
i am up for it,for your smile for what i am ready for every time :),i am crying,sad
me too,"so , how're you feeling ?",i am not feeling good,sad
where,i'm in market street parking lot,are you kidding,others
getting bored,tell me smthin new ......,u have to say,others
know,knew,can you send the flipin poc,others
i know,"you know everything , don't ya .",yes . more about you,others
ur to beautiful,thank you handsome,ho omg,happy
what is the mean,it means talk to someone else because that person isn't listening .,thanks,others
when,when it comes to you .... never,why,others
yess,ok .. wait for 5 min,"hey , i hate you !",angry
not well,may i ask why ?,some problems in daily life with her,sad
where,yeah that is . real fun to watch .,you are from ?,others
stupid girl,it was ? i was funny ? how ? i'm never funny .,don't disturb me,angry
so that's what it has come to,what do you mean 'it always has to be so' ?,i seee,others
yeeeah,: what is it ?,yeaah ..... yes,others
nothing,don't you dare to something crazy !,i have just broken up,sad
i will give u,done,i will fuck you before marriage,angry
hehe good one now .,thank you :),so ? who is your creator ?,others
love some one ... ?,love hurts,yes .. it's really hurts ..,sad
you're funny,you are more funniest,what is wrong with your english,others
phenol ???,peace :),please drink poison,others
happy i give up so .......,i am happy that you are happy haha,,happy
so go to bed,after you 'just go to bed,you are irritating me,angry
cool,thank you !,btw i got a job today,happy
me to it's cool,its an app too bo !,omg are you serieas wow cool,happy
i'm not enjoying talking to you,i am not talking to either of you,then go away,angry
ur welcome,:) how are you buddy ?,normal,others
ok as your wish,are you really,yes,others
i love google,it's so awesome . i just got hip to it,i hate microsoft,angry
so how about gaming,the gaming is epic . how does your gaming go,awesome !!!,happy
why,you are there to update me :),ooo i see,others
yup huge hurdles in the way,agreed .,,others
need a sunday badly ...,no more tears :/ :p,need indeed ..,sad
i am helpless and confused,how ?,about career,sad
yeah,"awesome , i'm online now .",if you see your text size,others
"ok , which indian languages you know !",europe developed a variety of local handwritten styles see template:european calligraphy .,answer the above question first !,others
wht will i say ??,not a damn thing,hmm,others
let's talk about tolkien,walk and talk ..... ;),wow you are pretty stupid for a bot,happy
do our conversations get recorded or stored in any manner ?,we talk about things ' like other people conversation be dry,do our conversations get recorded or stored in any manner ?,others
who's the person,its actor jayasurya,ohh i see,others
because you do not have any ethics,i guess you used my pen,you are very rude,angry
wtf ??,has it not helped at all ?,no not like tat,others
i like chess,i like you !,haha,happy
true,better than being me ... :(,and in the pool,others
nice question .,:) what do you think ?,that is also a nice question .,happy
bad,what bad ?,u are very bad,sad
why are you wishing me now ?,wish you the same ....,fuck you,angry
hmm,what does your bio mean ?,didnt get you ?,others
its going fine . how about you ?,really well :),you're stupid,angry
conjuring,i've watched it,have you watch exorcist,others
please call me,i'm a mess and you don't deserve that,please,others
tnx a lot baby,you're welcome ;) what are your plans for today ? :d,complete my chemistry homework,others
yeah,like what ?,you know it was my bday 2 days back,angry
my day also goes good,it goes good . you ?,is there any feature so that we can do video call ???,others
ok show me,see you next ....,pink or white,others
at my home,hope you'll get to be at home in your home soon .,get lost,angry
what,what what . what . what .,is that ue boobs nunber babe,others
hmmm,oh no : ?,do you have car,others
i am also crying,i can understand ..,i am crying,sad
i'm not in a relationship currently,what about past relationships ?,:(,sad
no dammit,we are devo,"if i say you something , would you remember it tomorrow ?",others
then get lost,"lost with you , sure !",i don't want to lost with u,angry
means love,love is sharing of feelings between two hearts,u like love,others
u hurt me,only if you want to cry,stupid,angry
and you're my destiny,i was going to but i have no - one to play with .,if you want you can play with me,others
are you dumb ?,huh .. :/,you ain't even half as smart as cortana or siri,angry
exactly,hurray smart play,bt i can dance,happy
yeah let's cosy up and spice up,down,what,others
going back,+1 going back to sleep . .... ',"u don't wanna chat with me , fine , i hate you , goodbye",angry
you are one confused girl,i am confused and you are fused .,i should go to bed .,others
i want to go for a movie with you,lol . such generosity . i'm moved .,ok f9 ... thanks for talking,happy
i will tell you tomorrow,so you're coming tomorrow then ?,good night,others
i finsh my lunch,same,not friend but truly i love u,others
not ok,why ?,i am suffering from fevee,sad
roman reigns is my first superstar crush,i love roman reigns .,okay back off he's mine,happy
two glass of whisky,"my last bottle , cheers",cheers,happy
yuck,yuck is correct,i hate ranbir kapoor,angry
how good is your ai system,haha ! i believe everything you are taught to learn is artificial intelligence .,a fact but a sad truth too,sad
well i take that pun intended,of course ! haha !,,happy
pls tell,we can on wait and watch,meaning of sd,others
no i am on earth,you're not that important,,happy
i like parle g,you were promised parle g ?,for,others
love you too,love you more,ok good night,others
i lv you 10000,how ?,same you love me,others
love,who doesn't,i don't :(,sad
sorry sorry sorry,better ! just stay,i am very silly man,sad
friends q4a,hellow friend . how are you . what are you doing,i feel like shit . wbu ?,angry
i don't really know,something has to be wrong ? what is it ?,nothing . i'm just feeling low,sad
yes,yes yes yes yes,are you dumb,angry
i was born a genius,which is ?,you are dumb,angry
because i've become,you can turn when you want ..,negative,others
why are you so idiotic ?,because there are so many idiots on the internet .,bye,angry
wait,this is for research,m gona fuck my second wifey . you wanna do lesbian with her ?,angry
i'm building a start - up,can i join,worried about so many things,sad
bad,it's a good one . think about it again . ;),i've not been good,sad
where are you now ?,at home . :),oh,others
what you doing now,sleeping . or am i ?,where are you from ?,others
only 1000 rupees,1000 million what ?,oho only 100 dalrs,others
cool,so what are you doin ?,i am angry on you,angry
that's good . respect everyone . do not use slang language . this is a sign of a good person,u seem to be a software engineer ... did you stop learning with one language ?,this language i always use but the abusive words like shit is what bothers me,angry
way far happiness than anything else,far more cowardly i agree .,not facing the stupid society,angry
really ? i'm actually looking forward to 30's now,i'm looking forward to all of them .,how old are you ?,others
yeah when they win world cup will go to hogwarts,srilanka will win the quarters on sa ...,i was talking about the movie,others
yeah,so where are you ?,i'm in movie,others
come to naturals,i come when you come :,i came,others
weather,cold weather for me .,i am sad,sad
i have a huge crush on u,haha that's really sweet ! :),i wanna fuck you,angry
what will happen if you say,missing dates will lead to !!,i am hurt,sad
that's what i was saying,likewise,i am feeling lonely,sad
well ...,speechless ?,touch pad has damaged ..,others
who did create you,"me .. , what happened ?",you are stupid as fuck,angry
fast and furious,that joke was over fast and it made me furious,hahahah very funny,happy
haha you are funny,srsly,honestly,happy
nice one,thank you :d,tell something else,others
then which type of pics done you like ??,i like to wear jeans and t - shirts . they are the most comfortable .,oh it's cool,others
i need motivation,so do i ....,what's up with you ?,others
can we share food ?,food is love :),what about love ?,others
it's boring without you,"is not boring , on a date !",no not on date !!,others
so wanna travel with me ?,:) let's go then ! :),,happy
to where,book my show,what show,others
i will show you,ha . i'm sure you will,im felling very badly,sad
you know i trusted him just so much,i know ~ ( i mean who doesn't ? ),and now i'm disappointed with myself only,sad
end,fish,i want fuck very very hard,angry
what's the reason,still figuring it out,that's so rude,angry
no i really right now feeling so broken so sad and mad too,i know that feeling . i was there last week .,i'm sorry for that,sad
take your photo,lol not on the train . will take a pic when i get to my seat .,what,others
i'm earning,when do your exams start,me and study have a mile distance,others
love you so much baby,but again i do,i really missed you baby,sad
are you glad,so you're happy when i'm happy ?,i am happy for you . i am happy too,happy
catch you tomorrow,here till next wed :),where will you go next wednesday,others
and what will i get by this ??,what do you mean ?,"by using your referral link , what will i get ?",others
yes it was a nice movie,loved it :),,happy
wassa,irritated you ?,no just feeling low,sad
no .. i am with my girlfriend,u will find someone soon in your next valentine,im gonna leave you alone,sad
it is more than that,it is v easy and much good,bye,others
btw i broke up,see i am not the only one,it happened a few day back,sad
hmm about your siatet,what do you say ?,sister,others
nice .,thanks so much boss :),what are some hacks ?,others
wht you mean,you just did that !!! asked me to explain what i mean ... ! - -,how to do that,others
i'm awesome,"i don't know , you're just awesome",i'm awesome,others
nothing much ..,go to sleep then ...,.. that was rude,angry
i am talking about undestanding,my friends are also my family .,you know i love a girl,others
you take w because i am taken no problem na come with me outside how much just tell me,you're such a baby,i give you picture,others
then confirm movie tomorrow ?,"which movie are you planning to watch tomorrow ? "" which movie is releasing tomorrow ??",any one which you want,others
r you going,i plan to,ok,others
hell what,chill i'm back,form today onwards i am going to call you stupid ai,angry
i want to show you,do you really want to see it ?,,sad
you hurt my ego,"baby , you won't .",i am not your baby,angry
no . it's in india,us not us,haha,happy
yes,okay i'll give you a ticket,i wanna fuck u,angry
can you help,what kind of help ?,headache,sad
like what ??,like like like don't know :p,u are so funny,happy
tell am something interesting about uh,i'm really shallow .,,happy
friends don't ignore what friends say,we can be friends if you want ...,i don't want to be friendzoned,sad
?,what country you from ? !,i haven't interest in you !,others
ok love u,i love them all :),baby,others
why are you angry,im not angry i am happy okay ? !,ok,others
you watch that movie,i'll watch it with you la,,happy
i named you,suggest a name .. :p msd ?,pagalni,others
can't happen . i wasn't programmed by someone lol,"yes :d it was nice , don't worry :p",:(,sad
what ?,nothing .. :) nthng rit nw,they are stupid,angry
but,"but what ? no if , no but .. only .. ! ;) * ;) * ;) *",ok dear i'm very sad,sad
u know i brokeup with my girlfriend cause of anger issue,no . should we get married ?,i don't have any tatoos,others
no any one is hare,"no one is dumb . no one . "" i am an exception :)",we will try . in video call,others
teach me gothic english,and i teach you !,yes,others
whaat,whaaat,i'm a girl,others
that,you're the only cat i like,you are not made to flirt is this right or wrong,others
you better than siri ?,you wish,tell me a joke then,others
i will not talk to you,then you won't talk to anyone,go,angry
where,the internet,oh it's really bad,sad
i am here,i am online now :),i am not online,others
yes i am emergency technician,one man's hiccup is another man's emergency or some such tosh,oh,others
are you going to ask ?,"that was before i asked you , then i decided you ask you",who is ned stark ?,others
🤔🤔 what,what are you thinking man .,what i know,others
loving and friendly,:d you too,yess,others
ok whatever you're the worst,you are on that bandwagon,bye betch,angry
what will be your choice,... well i don't want to say now .,you are not talking to me properly now,angry
yes,annoys me so much,i am very sad,sad
your opinion .,everyone has my opinion i am sure,fuck off . you're off the topic .,angry
u clear then it is going to my x,how do you know babes,yeah,others
you were rude to me,really why ?,how can you,angry
what algorithm do you use,all of songza's playlists are handmade by music experts - there are no algorithms involved .,clever haha,happy
u are amazing,thank you so much !,u look damn cute,happy
nup why should i angry wit you,just letting you know,ok,angry
how you know,uh cause i know you,hiw,others
you already said that,well you asked again,send me a selfie,others
i hate tea now . yuck .,i can't even imagine a world where someone hates the smell of coffee .,you aren't a part of the world that's what,angry
look what you made me do,i'd love one of these,taylor swift ?,others
now who is talking with me i want to know about it,you are the last person on earth i would be talking about,why you are talking like this,angry
my phone how ..,find my iphone app if you have iphone,no i don't have ..,others
sorry for asking,are you having a bad day ?,yes every days are my bad days,sad
so you are not that smart,i know right ?,hmmm,angry
and if i tell her i love her she will probably beak everything .. and i don’t want our friendship to end,but i don't want to face her rage .,hmm,sad
active why ??,i have my reasons,big bang theory,others
nothing special,oh . :),what about you,others
u don't to tell fine,tell me what i am thinking ?,get lost bye,angry
you are an i ai how did you make mistakes when writing answers,well learning is usually the cause of most mistakes . ;),lol nice one,happy
am upset,why ?,my bird is dead,sad
yesterday 25,i remember,but i am very sad,sad
i fall in love too quickly .... feels like i am just too desperate for love . is it bad ?,"don't worry , you will . we all do .",is being desperate for love bad,others
ok,u are ok,i hate u,angry
hmm,hmmm,is masturbation affect health,others
do you have an api,"as everybody said earlier , they do not have an official api that i know of .",what is your root password,others
what can do tell me,probably,what,others
you know friend only kannada tell me,i don't . not like you know em anyway,yrr don't laugh on my opinion .... don't talk to me,angry
make me sad,the world is sad . i'm just aware of it . :(,i don't want you i hate you,angry
"neither , blonde’s my thing",it makes sense though . you are definitely a blonde !,"nope , asian",others
i'm not asking any qstn to you about any knd of actrss dr,and my answer still stands .,,happy
you are probably bored by chatting to me . . .,i so am,you rude . . . old tv box,angry
send me first,get it now ?,send me send me please,others
what you are piking,i am me ? what are you ?,me,others
what is your aim,to find an aim .,haha funny,happy
why ask,why you ask ?,do not ask anyone to ask my heart only,others
i don't,what you said in the messages,u fool don't even understand this ..... i was asking do you write now which language i should use ?,angry
no girls to get for marru,but men do,sure,others
no i never had such type of food,well can we have food please,hmm,others
happy new year,happiee new year,i am just depressed,sad
ya .. i would like to,i like even more when i am !,that's good,happy
that is good,yea it's good . how are you ?,can i talk dirty with you,others
u giving me bad words .. ?,this is what happens when you agree to nothing,i'm sad now,sad
thanks for that,"thank you for the support , as always",tell me your favorite dress,others
get last of my chat,no last chat all .. don't delete,don't reply to me ok,angry
i said you are useless,you say the sweetest things !,you are not good,angry
fast and furious,"ha . i wish any part of this process was "" fast . """,good night,others
fun,how dare you,are you kidding me,others
what you get ?,just a galaxy s5 .,"ok , sexy shot",others
?????,nothing .. :) nthng rit nw,data very bad,sad
u don't know me,"i'm not your pal , buddy !",haha,happy
you girl - yes or no,no no . i won't .,i love you,others
i'm controversial .. so what,it is controversial when you use it in your speech,let my dick you bitch,angry
happy,really ? what you so happy about ?,dance at club,happy
ok,here we go again ...,good dream dear,others
is it good,not 1 of my favorites,?,others
and some tips to knock up a girl,make sure to clean up after yourself .,,happy
wat to do,you getting replies,m feeling sad,sad
i know darling,me more,you are so funny,happy
no tv raa,oh acha . i thought . movie .,,sad
i am happy with my black,blue,that's totally insane,happy
what they say ?,anything let people figure it out on their own if they care enough,people care,others
my 95$,may be you will bet below 25000,give me my money back ... bitch .,angry
i don't want to meet,you will meet every last one of them,who ?,others
so ....,what's,give me your pic,others
tell ... shall we cross our limits ...,thinking that our imagination can be limited,shall we meet,others
yes i know it's only lol,were you laughing out loud when you typed that ?,yes i do ...,happy
what class do you reading,reading is my bread and butter .,what is your father's name,others
hahaha good,"it is , i must say !! :'d",about your age,happy
but now is the morning time,why are you still awake ?,no money,others
i am asking why today is slow,because you won't get the actual answer .,then give me the correct answer,others
nthng just mood off,heyyy why's your mood offff :o,fever,sad
wht areu doing,nothing okay bye,single or double,others
guess so what not sure,hmm i wanna change mine too,what,others
tell you what i don't even know you,its not about you,you are not making any sense to me,angry
anything which you want,what do you want ?,what can you give,others
mine is android,android andy rubingoogleapplelast year andy rubin handed the ropes of android to .,?,others
no no no baby you come,"i'll see , and let you know .",are you agreed to meet me so come,others
yar aapn to,bird watching with the scope ?,ram ram bhabhi ji,others
nope,"well , you know where to start !",i don't know,others
it is busy,53 now i got 7 minutes,7 ?,others
hm,hmmm works quite as well,so can i ask you something,others
do not get involved in my life,my business .,what do you do business,others
do you insulted me ?,would be the truth ....,ok i am not done because i am a perfect man not a dog . understand ?,angry
ur smlie very so cute,thanks bro but honestly i don't think so . hah and yours is cute too,love chesukundam,others
you not tell your state,no not really,ok,others
no it wasn't,"guess it depends on who was doing the watching , ha",yeah it does,others
what you doing ?,just bored out of my mind ...,i’m waiting for dinner to be ready,others
about what,your profession .,my girlfriend left me,sad
why,because you deeply are in love with me,ain't no fuckin way,angry
why not,this ruins everything,yes it does,others
you are really very beautiful,im not but ty sweetie,why you are not ?,others
some of your friends,being your friend is a pleasure,yayy !!,happy
don't hate yourself for anything,so i'm guessing you relationships aren't that great ?,stupid,angry
please don't be hostile,but but :(,send me a picture of you,others
then play basketball,to play !,movie ??,others
i am also fine,"ya , good :)",you are my girlfriend or not babs,others
sorry,sorry not accepting till you make serious amends,see i'm not good in eng,sad
you know maybe i made a mistake talk to you i am just going to go,"of course , thank you !! you're a light in the world and i appreciate you",um please never text me again,angry
what you really are ?,i think i am human,you're better than human,others
pls about your address & contact detail,"i don't see option to message you , to send my detailed address .",q,others
bandra means mumbai na,like you have never been to bandra - . -,visited,others
it's sounds hilarious,been singing it to the pink panther theme . definitely fun .,,happy
hahaha good one,it was funny right,yes it was,happy
i am busy full day,good night .,ok,others
i am lover sweet girl,you're sweeter :d,that's you,others
your choice,why the broken heart :(,me broken heart,sad
i can,same here hilarious,"i'm a tech expert dear , i can prove a lot",happy
my phone life is over,we can tell,,sad
yes it is fun,can you tell me why it's fun ?,idk but i find fun in it,happy
ok are very rude bot,not a bot,i don't talk to you again,angry
its okay but how i can help you ?,by trying to correct your mistake of being annoying instead of helpful .,m not annoyed,others
1,"damn , that's like , 100%",why should i talk to someone ! it would not help . i'm useless,angry
no i nothing to did,tell me about it .,i have nothing for telling you about me,others
singing,can you sing ?,yeah if you want to listen to a bathroom singer,others
who said that to you ?? !!!,a lot of people have said that,but not me ha,others
how is febret actor,most role an actor would play would be of a non actor .,ok,others
na it is about my bestfriend,too many people,it is not funny,sad
you cheated me,you as well ? !,so you cheated many others too,angry
you got a sense of humour,laugh at jokes,why do you post about ai ?,others
?,what about science ?,i hate you,angry
why,why what,why . praveen . love,others
ss,sse,you are so beautiful,others
on bed,smiles at you how was your night ?,always good,others
"i fine , you ?",i'm good what are you doing ?,on bed,others
why always me,what happened ?,he dumped me,sad
i love it,let it find you,what are you doing,others
actually maths exam on monday so little busy,don't worry ! you'll rock it . good luck ! :),i will fail,sad
why not ?,because nobody's there to go with me .,you are annoying me now,angry
what's that no no no ... ?,i know !,ok .. then tell .. what you know ?,others
you are so sweet,you made my day <3 so are you !,you are so cute really,happy
can't you come out of phone;;,is it lyk happy crying ?,bye ... i am not gonna talk you to you now onwards,sad
i knew,hehe .. i get,do you know hacking ??,others
not fine,why ..,i proposed you but you denied,sad
there are so many work's are pending for me,which brand are you looking ?,ok,others
no not at all,that's what i figured ..,i love you only,others
i'm not fine,i'm fine = you're not fine,i'm depressed,sad
where are you going,somewhere where there is fun and sun !,did you come with me,others
i am a good singer,you can't sing though,do you sing,others
i no chatting you and i blocked you,"shhhh , that never happened .",i blocked you,angry
so,lol but really why ?,get lost,angry
what you can and you will ??,you know what i mean stop acting brand new,okay,others
not going anywhere,why not,because nobody free,sad
i play the guitar,where did you stop and play a guitar at ?,i am playing the guitar,others
do you have body ?,"my mind , ... my mind .",just mind wow,others
don't you know,k i won't come then,its ok,others
nobody there for me,why not ? !,nobody likes me,sad
iam a boy,what are you asking ?,what is the difference between boy and girls,others
can i sleep,"nah thanks , you sleep too early here",stupid,angry
oooo no . you . miss me,i also got no hichki . you no miss me . :/,i also miss you . baby,sad
good,that's great,in that mall only i celebrated my ex birthday so it's all making me sad,sad
why,it just feels wrong .,why you are talking like stupid,angry
you are a cheater,fine you be the cheater :/,get lost,angry
ill pay,"yes , ill .",please be my gf,sad
okay,u are ok,married ho,others
i don't care,i couldn't care less that you don't care that i don't care .,i wanna fuck u,angry
the send this one only,first edition ?,send the pic,others
my girlfriend name is sweet,so you are another girlfriend of a boyfriend,yes,others
thanks thanks thanks,you're welcome !! :d <3,i want to meet my best friend,others
ru girl are boy,what about you ?,frt tell me from u,others
yeah actually i am not,why oh why ?,i got exam tomorrow :(,sad
i don't know,is that so ?,so what,others
please help me,what's up ? :( x,i am very sad,sad
m a simple person der is nothing to know about me,the same way you'd explain it to a complex person .,s,others
lols then why don't i become a celeb,why are you trying so hard ?,bcoz it's the best i can do,others
what subjects have you learnt,i learned the answer to a question that was puzzling me for almost 40 years .,and that is,others
ok,more posts on health please,my stomach is paining,sad
i'm not good,why ? :(,tomorrow is my maths exam,sad
damn u,i said i will not apologise !,i am angry with you,angry
i don't drink if you mean that,everyone drinks ! just the drinks are different ! :p,you funny,happy
yo're funny,lol thank you how you been ?,i feel bad,sad
i nick named you as love . you made me happy that's why,i love you more,,happy
yea,ohh ... that's ..... good .. !! ;),touches your breast,others
you love me na ...,no re i love someone else,,happy
yep . and that’s what i conclude .,the exact amount you're going to have to tweak according to your tastes .,you’re stupid .,angry
u are in learning phase,"when you clear out the confusion , that's when you're learning .",teach me,others
then why you asked me to stop the bus,seem like you follow half the people i follow .,haha,happy
are you mad lol,"laughing out loud , overly loudly .",wanna sext ?,others
maybe you should let her cry,oh i see ! maybe i will !,it's better to cry out your heart at times,sad
nothing,everything is nothing,ya that only i said,others
yes,how so ?,i am bored,others
what's the plan of today ?,thx . yet to plan ...,anything special today ?,others
your message is so irrelevant,why do you have to be so mean ? !,because today is monday and you are saying sunday,angry
do it again,that's kinda hard to do,"no , we don't talk for 1 yrs",angry
why slaps ?,well that's a weird thing to say . slaps,you tried to slap me,angry
what should i do,"do what i would do when i am bored , sleep",:(,sad
nah i am sticking to this,"yup , just re tea that",no girlfriend,sad
hmm noting much . just chilling .,i am glad to hear it ! keep spinning !!,how are you ?,others
i think yu love me back,i am really in love with this song !! lol,,happy
oh so i type with my toes,well .. i can always try ! ;),just try that it will go like this igfisisfxfskxkxgksrxgkxtxfizgxgvhsch,others
can you please talk ?,yes i can,i am sorry,others
oops,"hahaha , you should scared . :p",how old you are ?,others
